品名,１０アール量,単位,回数,備考
目標収量,570,kg,1,
つきあかり,140,g,1,
牛糞堆肥,2,t,1,
粒状ミネラルＧ,200,kg,1,
粒状ミネリッチ,100,kg,1,
田んぼの守,100,kg,1,
アグリ革命アクア,100,ml,1,
アグリ革命・細粒,2,kg,1,
オリザ４６３,30,kg,1,体系施肥慣行
燐加安４０３,30,kg,1,体系施肥慣行
高度化成４０３,30,kg,1,体系施肥コスト低減
高度化成１７−０−１７,20,kg,1,体系施肥コスト低減
ワンオール６４０,50,kg,1,基肥一発慣行
ネオツバメコートＨ５８０,30,kg,1,基肥一発コスト低減
ドローンＮ４４,10,kg,2,
けい酸加里,30,kg,1,
スーパーケイサンプラス,30,kg,1,
ファイトアップ,500,g,1,
カイリキＺ１キロ粒剤,1,kg,1,除草剤一発カイリキ
カイリキＺフロアブル,500,ml,1,除草剤一発カイリキ
カイリキＺジャンボ,300,g,1,除草剤一発カイリキ
ジェイフレンド１キロ粒剤,1,kg,1,除草剤一発ジェイフレンド
ジェイフレンドフロアブル,500,ml,1,除草剤一発ジェイフレンド
ジェイフレンドジャンボ,400,g,1,除草剤一発ジェイフレンド
ジェイフレンド４００ＦＧ,400,g,1,除草剤一発ジェイフレンド
クサウェポン１キロ粒剤,1,kg,1,除草剤一発クサウェポン
クサウェポンフロアブル,500,ml,1,除草剤一発クサウェポン
クサウェポンジャンボ,400,g,1,除草剤一発クサウェポン
クサウェポン４００ＦＧ,400,g,1,除草剤一発クサウェポン
ピラクロンジャンボ,300,g,1,除草剤体系
ピラクロンフロアブル,500,ml,1,除草剤体系
ピラクロン１キロ粒剤,1,kg,1,除草剤体系
レプラス１キロ粒剤,300,g,1,除草剤体系
レプラスジャンボ,400,g,1,除草剤体系
ウィードコア１キロ粒剤,1,kg,1,
ウィードコア１キロ粒剤,1,kg,1,
ロイヤント乳剤,200,ml,1,
ロイヤント乳剤,200,ml,1,
レプラス１キロ粒剤,1,kg,1,除草剤体系
レプラスジャンボ,400,g,1,除草剤体系
クリンチャー１キロ粒剤,1,kg,1,
クリンチャー１キロ粒剤,1.5,kg,1,
クリンチャージャンボ,1,kg,1,
クリンチャージャンボ,1.5,kg,1,
クリンチャーＥＷ,100,ml,1,
トドメＭＦ１キロ粒剤,1,kg,1,
トドメＭＦ乳剤,200,ml,1,
ノミニー乳剤,100,ml,1,
バサグラン粒剤,4,kg,1,
バサグラン液剤,700,ml,1,
クリンチャーバスＭＥ液剤,1,L,1,
トドメバスＭＦ液剤,1,L,1,
モゲトン粒剤,3,kg,1,
稲大将箱粒剤,500,g,1,箱処理剤
スタークル液剤１０,1.5,L,2,基幹防除液剤粉剤体系
スタークル粉剤ＤＬ,3,kg,3,基幹防除液剤粉剤体系
スタークル粒剤,3,kg,3,基幹防除粒剤省力体系
スタークル豆つぶ,250,g,2,基幹防除粒剤省力体系
スタークル豆つぶ,500,g,1,基幹防除粒剤省力体系
キラップフロアブル,50,ml,1,
キラップ粒剤,3,kg,2,
キラップ粉剤ＤＬ,4,kg,2,
ラウンドアップマックスロード,1,L,1,
石灰窒素,50,kg,1,
プリグロックスＬ,1,L,1,
トレボン粒剤,3,kg,2,
トレボン粒剤,3,kg,1,
トレボンＥＷ,0.15,L,2,
トレボンＥＷ,0.08,L,1,
トレボン粉剤ＤＬ,4,kg,2,
トレボン粉剤ＤＬ,3,kg,1,
なげこみトレボン,300,ml,2,
なげこみトレボン,500,ml,1,
アミスターエイト,0.2,L,1,
アミスターエイト,0.08,L,1,
リンバー粒剤,4,kg,2,
ブラシンフロアブル,0.15,L,1,
ブラシンフロアブル,0.08,L,0,
バリダシン液剤５,0.15,L,1,
バリダシン液剤５,0.08,L,1,
バリダシン粉剤ＤＬ,4,kg,1,
Ｚボルドー粉剤ＤＬ,4,kg,1,
ドイツボルドーＡ,750,g,1,
モンガリット粒剤,4,kg,2,
クリンチャーＥＷ,100,ml,1,
バサグランエアー１キロ粒剤,1,kg,3,
トレボンエアー,0.1,L,1,
スタークル液剤１０,0.1,L,1,基幹防除液剤粉剤体系
キラップフロアブル,0.1,L,2,
スミチオン乳剤,0.1,L,2,
アミスターエイト,0.1,L,3,
バリダシンエアー,0.1,L,5,
ブラシンフロアブル,0.1,L,1,
ビームエイトスタークルゾル,0.1,L,3,
